tasks, stages, pipelines, cpu, memory
1, 1, 1, 1.50203704834e-05, 0.001
1, 1, 10, 3.91006469727e-05, 0.004
1, 1, 100, 0.000370979309082, 0.036
1, 1, 1000, 0.00350999832153, 0.314
1, 1, 10000, 0.0315940380096, 3.323
1, 1, 100000, 0.232735157013, 32.229
1, 1, 1000000, 3.37821698189, 314.288
