task; start_time; stop_time; stage; iteration; instance
54be80af2330e01935d9c3e6; 2015-01-20 16:22:09.061000; 2015-01-20 16:22:09.103000; sim ;4 ;2
54be80af2330e01935d9c3e7; 2015-01-20 16:22:09.146000; 2015-01-20 16:22:09.185000; sim ;4 ;3
54be80af2330e01935d9c3e8; 2015-01-20 16:22:09.236000; 2015-01-20 16:22:09.277000; sim ;4 ;4
54be80af2330e01935d9c3e9; 2015-01-20 16:22:09.311000; 2015-01-20 16:22:09.341000; sim ;4 ;5
54be80af2330e01935d9c3ea; 2015-01-20 16:22:09.379000; 2015-01-20 16:22:09.409000; sim ;4 ;6
54be80af2330e01935d9c3eb; 2015-01-20 16:22:09.450000; 2015-01-20 16:22:09.489000; sim ;4 ;7
54be80af2330e01935d9c3ec; 2015-01-20 16:22:09.527000; 2015-01-20 16:22:09.561000; sim ;4 ;8
54be80af2330e01935d9c3ed; 2015-01-20 16:22:09.596000; 2015-01-20 16:22:09.628000; sim ;4 ;9
54be80af2330e01935d9c3ee; 2015-01-20 16:22:09.660000; 2015-01-20 16:22:09.697000; sim ;4 ;10
54be80af2330e01935d9c3ef; 2015-01-20 16:22:09.734000; 2015-01-20 16:22:09.777000; sim ;4 ;11
54be80af2330e01935d9c3f0; 2015-01-20 16:22:09.820000; 2015-01-20 16:22:09.866000; sim ;4 ;12
54be80af2330e01935d9c3f1; 2015-01-20 16:22:09.905000; 2015-01-20 16:22:09.943000; sim ;4 ;13
54be80af2330e01935d9c3f2; 2015-01-20 16:22:09.979000; 2015-01-20 16:22:10.022000; sim ;4 ;14
54be80af2330e01935d9c3f3; 2015-01-20 16:22:10.067000; 2015-01-20 16:22:10.112000; sim ;4 ;15
54be80af2330e01935d9c3f4; 2015-01-20 16:22:10.164000; 2015-01-20 16:22:10.205000; sim ;4 ;16
54be80b22330e01935d9c3f5; 2015-01-20 16:22:10.864000; 2015-01-20 16:22:11.043000; ana; 4;1
