Pipelines, Stages, Tasks, Chars, Memory(MB), Time(secs)
100, 100, 100, 1, 167.307098389, 0.656028985977
100, 100, 100, 10, 167.307106018, 0.643871068954
100, 100, 100, 100, 167.307197571, 0.632205963135
100, 100, 100, 1000, 167.308052063, 0.639086008072
100, 100, 100, 10000, 167.316635132, 0.6459608078
100, 100, 100, 100000, 167.40246582, 0.646619081497
100, 100, 100, 1000000, 168.260772705, 0.636630058289
100, 100, 100, 10000000, 176.843841553, 0.673652172089
