Pipelines, Stages, Tasks, Memory(MB), Time(secs)
1, 1, 1, 0.00102233886719, 0.000108957290649
10, 1, 1, 0.00855255126953, 0.000656127929688
100, 1, 1, 0.087516784668, 0.00669002532959
1000, 1, 1, 0.802452087402, 0.057755947113
10000, 1, 1, 8.30336761475, 0.364873886108
100000, 1, 1, 81.5312728882, 3.64430403709
1000000, 1, 1, 803.310325623, 37.1786971092
