N, Time(secs)
1, 4.05311584473e-06
10, 8.82148742676e-06
100, 6.41345977783e-05
1000, 0.000625848770142
10000, 0.00660800933838
100000, 0.0650658607483
1000000, 0.683648824692
10000000, 6.67683315277
